Price,Close,High,Low,Open,Volume
Ticker,WFC,WFC,WFC,WFC,WFC
Date,,,,,
2025-01-28,77.49739074707031,77.76606855066854,76.79087972472914,77.48744534094672,11562000
2025-01-29,77.9849853515625,78.59198914122085,77.22871696590553,77.36802856432752,9175400
2025-01-30,78.43276977539062,78.85070456121296,77.69640740152566,78.76115036078498,11276000
2025-01-31,78.41287231445312,78.9004629037692,77.9252741332244,78.30341211800689,14983800
2025-02-03,77.75611114501953,78.1242961323745,76.6416107773948,76.85058576475346,12395200
2025-02-04,79.07958221435547,79.45771262307964,78.05464359730567,79.44775962519105,14665200
2025-02-05,79.65673065185547,79.95525224642094,78.79100208459919,79.26864726458155,17931000
2025-02-06,81.0199966430664,81.09960543979028,79.51742046244499,80.10451825647998,16988900
2025-02-07,80.66999816894531,81.30000305175781,79.08999633789062,81.2699966430664,17951400
2025-02-10,79.0999984741211,80.56999969482422,78.25,80.45999908447266,18357400
2025-02-11,79.63999938964844,79.97000122070312,77.80999755859375,78.7699966430664,16682800
2025-02-12,79.25,79.72000122070312,78.83000183105469,79.19999694824219,13440500
2025-02-13,78.8499984741211,79.66000366210938,78.61000061035156,79.43000030517578,10093400
2025-02-14,79.9800033569336,80.33999633789062,78.88999938964844,79.2300033569336,17521300
2025-02-18,80.77999877929688,80.94999694824219,79.48999786376953,79.98999786376953,15318300
2025-02-19,80.3499984741211,80.6500015258789,79.97000122070312,80.31999969482422,13917400
2025-02-20,78.62999725341797,80.27999877929688,78.0199966430664,80.11000061035156,14807100
2025-02-21,77.5,79.44999694824219,77.33000183105469,78.91000366210938,18205400
2025-02-24,77.22000122070312,78.5199966430664,76.41000366210938,77.97000122070312,12989700
2025-02-25,76.0,78.04000091552734,74.93000030517578,77.87000274658203,15683000
2025-02-26,76.44999694824219,77.7699966430664,76.2699966430664,76.3499984741211,13466800
2025-02-27,76.62000274658203,77.91999816894531,76.37999725341797,76.98999786376953,13744400
2025-02-28,78.31999969482422,78.41999816894531,76.58999633789062,77.04000091552734,24698800
2025-03-03,77.02999877929688,78.9800033569336,76.31999969482422,78.86000061035156,18013400
2025-03-04,73.30000305175781,75.6500015258789,71.33999633789062,75.47000122070312,28858200
2025-03-05,74.16000366210938,74.62999725341797,72.44000244140625,73.20999908447266,20422000
2025-03-06,72.6500015258789,73.88999938964844,71.62999725341797,73.79000091552734,19460400
2025-03-07,71.05000305175781,72.25,68.0999984741211,72.25,21256900
2025-03-10,66.77999877929688,69.55000305175781,65.5199966430664,69.55000305175781,27577900
2025-03-11,67.11000061035156,67.22000122070312,65.78500366210938,66.82499694824219,8311722
